N,P,K,temperature,humidity,ph,rainfall,label,land_size,water_supply,preference_cereals,preference_vegetables,preference_fruits
36.0,67.0,77.0,18.37,19.56,7.15,6.7,chickpea,0.403,1,0,0,0
32.0,73.0,81.0,20.45,15.4,5.99,1.0,chickpea,0.823,1,0,0,0
58.0,70.0,84.0,20.65,16.61,6.23,55.17,chickpea,0.87,0,0,0,0
59.0,70.0,84.0,17.33,18.75,7.55,31.93,chickpea,0.756,1,0,0,0
42.0,62.0,75.0,18.18,18.9,7.01,1.26,chickpea,0.534,1,0,0,0
28.0,74.0,81.0,18.01,18.31,8.75,59.66,chickpea,0.197,0,0,0,0
58.0,66.0,79.0,20.99,19.33,8.72,69.83,chickpea,0.974,1,0,0,0
43.0,66.0,79.0,19.46,15.23,7.98,136.39,chickpea,0.302,1,0,0,0
58.0,63.0,81.0,19.81,14.7,6.52,8.62,chickpea,0.252,1,0,0,0
23.0,62.0,85.0,18.97,19.52,8.49,30.69,chickpea,0.1,0,0,0,0
27.0,62.0,77.0,18.2,14.71,6.58,90.03,chickpea,0.367,0,0,0,0
28.0,72.0,84.0,18.73,19.18,6.48,26.9,chickpea,0.876,0,0,0,0
50.0,56.0,76.0,21.0,19.86,7.97,31.82,chickpea,0.89,1,0,0,0
39.0,71.0,84.0,20.28,16.4,8.14,44.53,chickpea,0.909,1,0,0,0
25.0,78.0,76.0,17.48,15.76,7.23,124.92,chickpea,0.879,0,0,0,0
31.0,70.0,77.0,20.89,14.32,6.49,8.52,chickpea,0.766,1,0,0,0
26.0,80.0,83.0,17.08,16.15,7.53,51.18,chickpea,0.33,0,0,0,0
25.0,68.0,77.0,20.09,15.11,7.7,44.55,chickpea,0.212,1,0,0,0
31.0,78.0,76.0,17.57,15.0,8.52,36.21,chickpea,0.875,1,0,0,0
60.0,68.0,83.0,19.12,18.43,6.62,47.61,chickpea,0.769,0,0,0,0
59.0,62.0,83.0,18.58,19.22,8.1,9.9,chickpea,0.726,0,0,0,0
22.0,67.0,78.0,17.17,14.42,6.2,58.0,chickpea,0.103,1,0,0,0
36.0,65.0,80.0,18.29,16.68,6.05,3.32,chickpea,0.921,1,0,0,0
59.0,60.0,84.0,19.03,18.67,7.69,98.06,chickpea,0.651,1,0,0,0
54.0,77.0,85.0,17.14,17.07,7.83,3.21,chickpea,0.816,1,0,0,0
43.0,68.0,81.0,17.48,17.93,6.76,43.51,chickpea,0.906,0,0,0,0
28.0,76.0,82.0,20.57,14.26,6.65,110.32,chickpea,0.318,0,0,0,0
42.0,79.0,85.0,17.22,15.82,6.13,6.03,chickpea,0.518,0,0,0,0
32.0,60.0,83.0,19.69,19.44,8.83,184.38,chickpea,0.706,1,0,0,0
22.0,78.0,76.0,17.85,19.09,8.62,107.91,chickpea,0.542,0,0,0,0
31.0,79.0,75.0,18.82,16.11,8.2,76.95,chickpea,0.226,0,0,0,0
28.0,58.0,81.0,17.48,16.54,6.18,2.75,chickpea,0.273,1,0,0,0
57.0,58.0,77.0,18.73,17.58,7.98,5.44,chickpea,0.336,1,0,0,0
49.0,55.0,78.0,18.66,16.18,7.86,6.95,chickpea,0.17,0,0,0,0
46.0,76.0,77.0,18.24,19.69,6.97,4.71,chickpea,0.514,0,0,0,0
54.0,61.0,77.0,18.81,15.22,6.21,48.82,chickpea,0.307,1,0,0,0
38.0,60.0,76.0,18.65,17.81,8.87,5.07,chickpea,0.325,0,0,0,0
59.0,55.0,79.0,20.37,16.9,8.77,6.61,chickpea,0.437,0,0,0,0
36.0,76.0,75.0,18.38,16.64,8.74,4.37,chickpea,0.879,0,0,0,0
57.0,68.0,81.0,17.17,17.3,8.08,1.66,chickpea,0.84,0,0,0,0
35.0,66.0,81.0,19.37,15.77,6.14,49.48,chickpea,0.12,1,0,0,0
35.0,64.0,78.0,17.93,14.27,7.5,93.63,chickpea,0.958,0,0,0,0
52.0,60.0,79.0,19.45,18.23,8.38,40.03,chickpea,0.886,0,0,0,0
27.0,76.0,83.0,19.13,14.92,6.29,9.94,chickpea,0.909,1,0,0,0
57.0,60.0,84.0,19.1,17.26,6.59,79.56,chickpea,0.305,0,0,0,0
52.0,68.0,78.0,17.49,16.96,6.9,8.33,chickpea,0.324,1,0,0,0
43.0,79.0,79.0,19.41,18.98,7.81,54.43,chickpea,0.424,1,0,0,0
44.0,74.0,85.0,20.19,19.64,7.15,22.42,chickpea,0.277,0,0,0,0
24.0,55.0,78.0,17.3,15.15,6.65,2.02,chickpea,0.337,1,0,0,0
29.0,77.0,75.0,17.5,15.48,7.78,20.7,chickpea,0.486,1,0,0,0
20.0,60.0,78.0,18.17,14.7,6.36,82.86,chickpea,0.995,1,0,0,0
56.0,67.0,78.0,17.57,16.72,8.26,6.85,chickpea,0.872,0,0,0,0
37.0,66.0,85.0,20.93,18.91,6.46,195.81,chickpea,0.135,0,0,0,0
49.0,71.0,76.0,19.71,17.64,6.61,9.17,chickpea,0.195,1,0,0,0
59.0,69.0,80.0,19.08,17.87,8.17,4.88,chickpea,0.258,1,0,0,0
20.0,79.0,77.0,18.55,16.03,7.65,4.69,chickpea,0.349,1,0,0,0
24.0,56.0,85.0,18.2,17.41,6.55,26.17,chickpea,0.652,1,0,0,0
51.0,72.0,75.0,18.89,14.99,7.1,9.97,chickpea,0.846,1,0,0,0
57.0,73.0,85.0,18.49,14.72,7.36,1.98,chickpea,0.346,0,0,0,0
22.0,64.0,82.0,19.49,17.17,6.47,2.64,chickpea,0.574,0,0,0,0
52.0,73.0,79.0,17.26,18.75,7.84,68.33,chickpea,0.646,0,0,0,0
29.0,75.0,75.0,19.62,18.71,7.06,21.83,chickpea,0.788,1,0,0,0
44.0,59.0,78.0,20.68,19.85,7.6,5.66,chickpea,0.338,0,0,0,0
41.0,69.0,82.0,20.02,16.63,6.72,28.1,chickpea,0.541,1,0,0,0
52.0,56.0,85.0,20.12,14.44,6.82,36.24,chickpea,0.975,1,0,0,0
34.0,76.0,80.0,20.66,15.85,7.99,4.28,chickpea,0.903,0,0,0,0
42.0,74.0,83.0,19.26,14.28,7.55,7.88,chickpea,0.991,0,0,0,0
34.0,71.0,79.0,17.93,15.86,7.73,45.84,chickpea,0.992,1,0,0,0
27.0,73.0,79.0,19.16,15.84,7.35,132.74,chickpea,0.895,1,0,0,0
30.0,70.0,79.0,20.27,19.97,7.31,14.77,chickpea,0.427,0,0,0,0
57.0,57.0,75.0,17.09,18.25,7.79,28.63,chickpea,0.164,1,0,0,0
27.0,79.0,82.0,17.07,17.54,6.31,17.45,chickpea,0.684,0,0,0,0
32.0,71.0,85.0,20.63,14.44,6.4,4.05,chickpea,0.6,1,0,0,0
31.0,76.0,82.0,20.82,17.85,7.6,133.34,chickpea,0.79,0,0,0,0
33.0,75.0,84.0,19.46,18.73,7.22,97.09,chickpea,0.175,1,0,0,0
47.0,80.0,77.0,17.18,16.43,7.56,152.58,chickpea,0.399,1,0,0,0
54.0,62.0,80.0,17.49,16.39,7.49,12.31,chickpea,0.569,1,0,0,0
47.0,79.0,78.0,17.48,14.76,6.61,8.17,chickpea,0.868,1,0,0,0
35.0,57.0,83.0,19.48,17.45,7.48,55.42,chickpea,0.764,0,0,0,0
53.0,73.0,77.0,19.71,18.1,7.33,6.35,chickpea,0.824,0,0,0,0
45.0,61.0,78.0,19.49,16.06,6.49,7.2,chickpea,0.637,0,0,0,0
37.0,78.0,79.0,19.95,14.83,7.79,3.48,chickpea,0.831,1,0,0,0
30.0,75.0,81.0,19.42,16.8,6.41,125.32,chickpea,0.805,1,0,0,0
37.0,55.0,82.0,19.46,18.02,8.42,14.36,chickpea,0.444,1,0,0,0
53.0,65.0,76.0,20.19,16.42,8.72,9.65,chickpea,0.753,1,0,0,0
22.0,60.0,85.0,18.84,14.74,7.81,27.4,chickpea,0.279,1,0,0,0
60.0,61.0,78.0,20.71,19.84,6.32,20.43,chickpea,0.563,1,0,0,0
42.0,67.0,77.0,18.99,15.94,7.11,15.5,chickpea,0.635,1,0,0,0
39.0,76.0,76.0,19.97,15.57,8.14,38.46,chickpea,0.346,0,0,0,0
35.0,63.0,76.0,17.82,17.61,7.71,9.88,chickpea,0.235,1,0,0,0
30.0,65.0,82.0,20.71,15.28,7.1,9.17,chickpea,0.173,0,0,0,0
57.0,56.0,78.0,17.34,18.76,8.86,25.74,chickpea,0.423,1,0,0,0
48.0,65.0,78.0,17.44,14.34,7.86,44.01,chickpea,0.671,1,0,0,0
36.0,56.0,83.0,18.9,19.76,7.45,62.82,chickpea,0.482,0,0,0,0
40.0,58.0,75.0,18.59,14.78,7.17,75.35,chickpea,0.419,0,0,0,0
49.0,69.0,82.0,18.32,15.36,7.26,16.26,chickpea,0.301,1,0,0,0
12.4,65.83,25.39,17.14,20.6,5.69,31.18,Cowpea,1.712,0,0,1,0
25.67,68.38,15.56,19.63,18.91,5.76,1.43,Cowpea,0.754,1,0,1,0
30.21,57.53,20.37,22.91,21.34,5.87,86.35,Cowpea,0.72,1,0,1,0
38.42,63.87,14.84,16.43,24.24,5.93,35.57,Cowpea,0.901,1,0,1,0
2.16,58.01,18.88,22.14,23.02,5.96,80.55,Cowpea,1.111,0,0,1,0
26.89,62.25,23.22,17.85,18.78,5.95,6.28,Cowpea,0.248,1,0,1,0
18.66,56.01,21.34,19.88,20.32,5.79,3.0,Cowpea,1.004,0,0,1,0
27.42,82.11,18.24,19.33,23.33,5.58,36.2,Cowpea,0.329,1,0,1,0
15.94,54.08,15.59,18.42,23.43,5.69,40.25,Cowpea,1.822,0,0,1,0
27.27,57.04,23.6,21.81,23.21,5.79,26.32,Cowpea,1.528,0,0,1,0
27.93,55.81,24.21,19.73,18.28,5.75,4.88,Cowpea,1.566,1,0,1,0
27.14,57.34,19.67,17.15,19.87,5.57,29.28,Cowpea,1.637,1,0,1,0
29.82,76.79,18.3,19.62,18.67,5.81,48.56,Cowpea,1.736,0,0,1,0
25.58,58.03,19.84,21.63,21.18,5.89,59.4,Cowpea,0.496,1,0,1,0
11.04,76.26,22.95,16.07,18.72,6.0,1.31,Cowpea,1.494,1,0,1,0
6.3,75.4,26.39,20.61,24.36,5.79,2.07,Cowpea,0.81,0,0,1,0
20.85,75.62,15.86,21.42,20.4,5.91,7.13,Cowpea,1.003,0,0,1,0
29.25,86.96,14.0,19.07,21.21,5.79,46.69,Cowpea,0.316,0,0,1,0
10.35,59.39,22.89,21.19,19.63,5.73,23.34,Cowpea,0.965,0,0,1,0
21.49,68.94,19.58,23.04,22.43,5.83,13.47,Cowpea,0.683,1,0,1,0
19.21,83.09,17.02,20.65,23.11,5.97,197.28,Cowpea,0.608,1,0,1,0
17.72,70.86,26.11,18.1,18.29,5.63,19.34,Cowpea,1.644,1,0,1,0
22.16,70.91,18.41,18.24,21.08,5.52,9.13,Cowpea,1.697,1,0,1,0
40.07,66.94,20.84,17.48,18.83,5.95,51.7,Cowpea,0.647,0,0,1,0
12.1,66.93,18.44,19.92,21.47,5.75,71.7,Cowpea,0.408,1,0,1,0
16.65,74.61,19.18,20.28,23.24,5.88,4.65,Cowpea,1.195,1,0,1,0
19.82,65.25,16.17,15.77,19.23,5.98,24.96,Cowpea,0.825,0,0,1,0
21.67,77.14,20.2,16.71,19.18,5.64,35.64,Cowpea,0.333,1,0,1,0
33.63,61.6,21.25,17.66,18.15,5.64,18.96,Cowpea,0.444,0,0,1,0
16.81,74.62,19.28,18.51,23.62,5.68,95.61,Cowpea,0.668,1,0,1,0
17.1,84.05,25.0,24.51,20.82,5.67,17.73,Cowpea,0.486,1,0,1,0
36.36,74.37,18.94,18.88,24.54,5.72,2.66,Cowpea,1.769,0,0,1,0
37.11,70.25,21.6,21.59,20.32,5.81,3.59,Cowpea,1.362,1,0,1,0
8.74,76.47,15.82,20.12,24.45,5.78,23.35,Cowpea,0.647,1,0,1,0
0.92,64.44,24.67,15.44,18.37,5.61,83.8,Cowpea,0.487,0,0,1,0
31.9,62.54,23.53,22.64,21.59,5.95,88.42,Cowpea,0.496,0,0,1,0
24.94,53.33,18.29,21.99,24.87,5.85,34.43,Cowpea,1.765,0,0,1,0
6.31,67.36,23.62,20.53,18.09,5.82,34.34,Cowpea,0.206,0,0,1,0
25.41,61.8,21.74,15.79,21.15,5.5,1.63,Cowpea,0.573,1,0,1,0
6.84,86.3,24.8,19.64,19.69,5.82,5.88,Cowpea,1.796,1,0,1,0
7.57,78.51,17.28,20.57,19.75,5.71,9.14,Cowpea,0.835,0,0,1,0
24.95,57.75,13.99,20.16,24.84,5.51,18.77,Cowpea,0.839,1,0,1,0
27.67,63.89,23.94,21.54,24.25,6.0,9.52,Cowpea,0.841,1,0,1,0
32.43,60.79,17.54,15.54,23.76,5.7,1.21,Cowpea,1.83,0,0,1,0
27.55,60.15,19.87,19.92,20.7,5.83,7.08,Cowpea,1.184,1,0,1,0
16.66,77.39,24.67,20.77,18.93,5.57,80.84,Cowpea,1.125,0,0,1,0
0.0,59.38,13.9,23.46,23.22,5.65,5.58,Cowpea,1.757,1,0,1,0
12.51,77.5,22.51,24.32,21.03,5.82,8.96,Cowpea,1.378,1,0,1,0
34.89,55.36,22.54,20.13,24.97,5.66,92.07,Cowpea,1.773,0,0,1,0
9.06,77.08,20.26,21.81,18.57,5.95,2.38,Cowpea,0.505,1,0,1,0
10.48,73.1,18.53,19.52,24.93,5.95,26.3,Cowpea,0.735,1,0,1,0
2.71,72.16,22.55,17.0,19.91,5.52,46.78,Cowpea,0.683,0,0,1,0
34.83,74.55,23.63,16.79,24.97,5.58,8.57,Cowpea,1.467,1,0,1,0
3.06,73.03,26.79,24.85,22.89,5.61,2.57,Cowpea,1.011,0,0,1,0
23.46,63.64,18.35,16.52,20.46,5.61,1.56,Cowpea,1.111,0,0,1,0
23.15,75.19,18.07,18.15,19.39,5.51,82.77,Cowpea,1.117,1,0,1,0
31.35,78.79,24.16,23.19,22.31,5.9,3.62,Cowpea,0.877,1,0,1,0
35.04,60.4,17.1,23.38,21.99,5.74,35.5,Cowpea,0.658,1,0,1,0
12.67,57.78,18.23,18.36,19.38,5.72,30.84,Cowpea,1.51,1,0,1,0
26.86,56.86,21.83,19.26,20.51,5.54,7.99,Cowpea,1.475,1,0,1,0
6.5,56.81,25.98,22.95,24.04,5.86,163.76,Cowpea,0.974,1,0,1,0
25.76,67.25,22.52,20.12,22.9,5.62,85.63,Cowpea,1.0,1,0,1,0
11.77,72.0,23.59,21.14,22.72,5.61,8.24,Cowpea,1.516,1,0,1,0
34.4,74.53,13.9,24.92,18.23,5.58,44.88,Cowpea,0.752,1,0,1,0
25.17,80.68,25.28,15.33,24.92,5.57,116.11,Cowpea,1.031,1,0,1,0
37.14,62.09,17.56,18.81,21.28,5.89,24.19,Cowpea,0.672,1,0,1,0
20.51,62.38,14.56,23.44,22.77,5.93,1.93,Cowpea,1.792,0,0,1,0
36.63,68.98,17.1,22.84,18.97,5.68,1.16,Cowpea,1.735,1,0,1,0
16.34,66.92,13.72,24.9,22.28,5.71,6.46,Cowpea,1.573,0,0,1,0
3.92,64.54,23.85,23.79,24.36,5.95,96.67,Cowpea,1.757,0,0,1,0
38.37,60.31,24.77,22.06,19.6,5.77,76.53,Cowpea,1.882,1,0,1,0
5.35,64.68,15.33,18.87,20.18,5.97,14.53,Cowpea,0.496,1,0,1,0
11.64,55.01,21.98,18.62,23.02,5.53,41.83,Cowpea,0.723,0,0,1,0
21.85,83.9,19.53,23.01,18.87,5.67,7.65,Cowpea,0.759,0,0,1,0
11.95,55.11,19.59,19.33,24.14,5.66,1.96,Cowpea,1.718,0,0,1,0
5.12,77.59,19.35,16.24,21.36,5.59,1.31,Cowpea,1.252,0,0,1,0
26.19,63.04,23.83,17.92,24.91,5.93,17.23,Cowpea,1.27,0,0,1,0
33.88,70.88,17.79,15.47,21.44,5.82,42.13,Cowpea,1.197,1,0,1,0
39.21,63.09,21.08,17.06,23.77,5.86,3.44,Cowpea,0.204,0,0,1,0
5.4,69.73,15.27,21.33,18.49,5.87,5.24,Cowpea,0.995,1,0,1,0
35.08,80.98,14.0,23.91,20.75,5.71,9.93,Cowpea,1.653,1,0,1,0
9.94,81.96,20.7,23.9,22.74,5.94,6.76,Cowpea,1.526,1,0,1,0
0.0,59.39,22.16,22.99,20.58,5.92,8.12,Cowpea,1.861,1,0,1,0
13.01,64.41,14.26,21.35,22.91,5.78,6.0,Cowpea,0.358,1,0,1,0
27.93,74.06,21.33,24.16,19.28,5.83,63.13,Cowpea,0.466,0,0,1,0
32.82,63.94,17.23,24.63,18.18,5.51,7.15,Cowpea,0.468,0,0,1,0
15.9,67.0,17.76,21.02,24.94,5.66,119.96,Cowpea,1.504,1,0,1,0
13.64,62.62,17.2,17.31,20.02,5.86,73.3,Cowpea,1.203,0,0,1,0
15.37,64.97,22.2,23.83,24.75,5.62,38.93,Cowpea,0.926,1,0,1,0
8.22,64.41,21.55,19.31,23.96,5.59,13.35,Cowpea,0.488,1,0,1,0
19.35,66.67,23.33,16.04,22.33,5.98,11.47,Cowpea,1.938,1,0,1,0
38.05,83.22,20.51,19.19,20.83,5.67,18.33,Cowpea,0.962,1,0,1,0
26.1,78.18,24.93,19.93,21.8,5.96,19.97,Cowpea,1.07,0,0,1,0
13.63,70.8,13.96,19.56,24.67,5.69,4.84,Cowpea,0.586,1,0,1,0
7.45,60.17,16.99,18.31,24.33,5.7,6.38,Cowpea,0.604,0,0,1,0
28.09,71.47,16.28,20.11,23.22,5.6,3.89,Cowpea,0.786,1,0,1,0
31.04,59.09,17.59,23.61,21.91,5.53,47.05,Cowpea,0.857,1,0,1,0
35.71,73.47,26.82,19.73,24.89,5.82,13.67,Cowpea,0.885,1,0,1,0
24.38,66.83,18.66,20.93,21.19,5.56,68.22,Cowpea,0.312,1,0,1,0
21.11,64.06,24.51,18.78,20.25,5.63,160.88,Cowpea,1.542,0,0,1,0
3.23,70.99,22.16,36.51,57.93,6.03,43.79,Green Gram,1.568,1,0,1,0
42.21,58.13,24.07,36.89,62.73,5.27,14.49,Green Gram,0.721,1,0,1,0
29.81,69.7,23.52,29.24,59.39,5.99,114.61,Green Gram,1.695,0,0,1,0
24.45,52.4,26.29,27.34,43.36,6.09,10.69,Green Gram,1.447,0,0,1,0
10.65,77.4,16.86,21.06,55.47,5.62,1.54,Green Gram,1.783,1,0,1,0
27.65,71.7,24.17,30.33,42.35,6.45,31.04,Green Gram,0.765,1,0,1,0
39.35,71.34,20.99,31.8,45.03,5.62,18.49,Green Gram,0.99,0,0,1,0
36.51,54.17,20.33,33.18,38.23,5.86,4.97,Green Gram,0.876,1,0,1,0
